[2017-11-16 10:54:12,790]  INFO - 画板初始化！
[2017-11-16 10:54:13,170]  INFO - 初始化买入基价！
[2017-11-16 10:54:13,172]  INFO - 初始化买入基价值！
[2017-11-16 10:54:13,172]  INFO - 初始化卖出基价！
[2017-11-16 10:54:13,172]  INFO - 初始化卖出基价值！
[2017-11-16 10:54:13,180]  INFO - 初始化第二行快捷按钮！
[2017-11-16 10:54:14,922]  INFO - 创建MQTT对象开始
[2017-11-16 10:54:14,953]  INFO - 创建开发环境MQTT对象
[2017-11-16 10:54:14,953]  INFO - 创建MQTT对象结束
[2017-11-16 10:57:40,847]  INFO - 画板初始化！
[2017-11-16 10:57:40,977]  INFO - 初始化买入基价！
[2017-11-16 10:57:40,978]  INFO - 初始化买入基价值！
[2017-11-16 10:57:40,979]  INFO - 初始化卖出基价！
[2017-11-16 10:57:40,979]  INFO - 初始化卖出基价值！
[2017-11-16 10:57:40,990]  INFO - 初始化第二行快捷按钮！
[2017-11-16 10:57:42,886]  INFO - 创建MQTT对象开始
[2017-11-16 10:57:42,926]  INFO - 创建开发环境MQTT对象
[2017-11-16 10:57:42,926]  INFO - 创建MQTT对象结束
[2017-11-16 13:39:19,973]  INFO - 画板初始化！
[2017-11-16 13:39:20,041]  INFO - 初始化买入基价！
[2017-11-16 13:39:20,041]  INFO - 初始化买入基价值！
[2017-11-16 13:39:20,041]  INFO - 初始化卖出基价！
[2017-11-16 13:39:20,041]  INFO - 初始化卖出基价值！
[2017-11-16 13:39:20,053]  INFO - 初始化第二行快捷按钮！
[2017-11-16 13:39:21,622]  INFO - 创建MQTT对象开始
[2017-11-16 13:39:21,641]  INFO - 创建开发环境MQTT对象
[2017-11-16 13:39:21,641]  INFO - 创建MQTT对象结束
[2017-11-16 13:40:28,794]  INFO - 画板初始化！
[2017-11-16 13:40:28,845]  INFO - 初始化买入基价！
[2017-11-16 13:40:28,846]  INFO - 初始化买入基价值！
[2017-11-16 13:40:28,846]  INFO - 初始化卖出基价！
[2017-11-16 13:40:28,846]  INFO - 初始化卖出基价值！
[2017-11-16 13:40:28,852]  INFO - 初始化第二行快捷按钮！
[2017-11-16 13:40:30,380]  INFO - 创建MQTT对象开始
[2017-11-16 13:40:30,388]  INFO - 创建开发环境MQTT对象
[2017-11-16 13:40:30,388]  INFO - 创建MQTT对象结束
[2017-11-16 13:42:55,838]  INFO - 画板初始化！
[2017-11-16 13:42:55,881]  INFO - 初始化买入基价！
[2017-11-16 13:42:55,881]  INFO - 初始化买入基价值！
[2017-11-16 13:42:55,881]  INFO - 初始化卖出基价！
[2017-11-16 13:42:55,881]  INFO - 初始化卖出基价值！
[2017-11-16 13:42:55,885]  INFO - 初始化第二行快捷按钮！
[2017-11-16 13:42:57,399]  INFO - 创建MQTT对象开始
[2017-11-16 13:42:57,418]  INFO - 创建开发环境MQTT对象
[2017-11-16 13:42:57,418]  INFO - 创建MQTT对象结束
[2017-11-16 13:44:20,661]  INFO - 画板初始化！
[2017-11-16 13:44:20,744]  INFO - 初始化买入基价！
[2017-11-16 13:44:20,744]  INFO - 初始化买入基价值！
[2017-11-16 13:44:20,744]  INFO - 初始化卖出基价！
[2017-11-16 13:44:20,745]  INFO - 初始化卖出基价值！
[2017-11-16 13:44:20,752]  INFO - 初始化第二行快捷按钮！
[2017-11-16 13:44:22,595]  INFO - 创建MQTT对象开始
[2017-11-16 13:44:22,615]  INFO - 创建开发环境MQTT对象
[2017-11-16 13:44:22,615]  INFO - 创建MQTT对象结束
[2017-11-16 17:34:20,688]  INFO - 画板初始化！
[2017-11-16 17:34:20,845]  INFO - 初始化买入基价！
[2017-11-16 17:34:20,846]  INFO - 初始化买入基价值！
[2017-11-16 17:34:20,846]  INFO - 初始化卖出基价！
[2017-11-16 17:34:20,846]  INFO - 初始化卖出基价值！
[2017-11-16 17:34:20,852]  INFO - 初始化第二行快捷按钮！
[2017-11-16 17:34:23,657]  INFO - 创建MQTT对象开始
[2017-11-16 17:34:23,722]  INFO - 创建开发环境MQTT对象
[2017-11-16 17:34:23,722]  INFO - 创建MQTT对象结束
